Book ID,Title,Author
100041,The House at Pooh Corner,"A,A Milne"
100044,The Secret Adversary,Agatha Christie
100045,At the Mountains of Madness,H.P. Lovecraft
100046,The Lost World,Arthur Conan Doyle
100048,The Secret sharer,Joseph Conrad
100049,O Pioneers!,Willa Cather
100050,The Beautiful and Damned,F.Scott Fitzgerald
100051,The Secret of Chimneys,Agatha Christie
100052,The Rainbow,D.H. Lawrence
100053,Lady Susan,Jane Austen
100054,The Thirty-Nine Steps,John Buchan
100055,Babbitt,Sinclair Lewis
100056,The Confidence-Man: His Masquerade,Herman Melville
100058,My Father's Dragon,Ruth Stiles Gannett
100060,The Napoleon of Notting Hill,G.K. Chesterton
100063,The Four Million,O. Henry
100065,The Iron Heel,Jack London
100066,Emily of New Moon,Lucy Maud Montgomery
100067,The Good Soldier,Ford Madox Ford
100068,Agnes Grey,Anne Bronte
100070,The House on the Borderland,William Hope Hodgson
100071,The Black Tulip,Alexandre Dumas
100072,Resurrection,Leo Tolstoy
100073,Letters of Two Brides,Honore de Balzac
100074,Three Soldiers,John Dos Passos
100075,Little Fuzzy,H. Beam Piper
100077,Under Western Eyes,Joseph Conrad
100078,An Old-Fashioned Girl,Louisa May Alcott
100080,Anne of Avonlea,E. Nesbit
100081,The Gods of Mars,Edgar Rice Burroughs
100082,Castle Rackrent,Maria Edgeworth
100083,The Deerslayer, James Fenimore Cooper
100084,Night and Day,Virginia Woolf
100085,The Red House Mystery,A. A. Milne
100086,The Beetle: A Mystery,Richard Marsh
100087,Terminal Compromise,Winn Schwartau
100088,The Little Tame Prince and His Traveling Cloak,Dinah Craik
100089,Tales of. Traveller,Washington Irving
100090,The King of Elfland's Daughter,Lord Dusany
100091,The Voyage Out,Virginia Woolf
100092,The Wreck of the Titan,Morgan Robertson
100093,The Night Land,William Hope Hodgson
100094,Riders of the Purple Sage,Zane Grey
100095,The Diary of a Nobody,George Grossmith
100096,The Light Princess,George MacDonald
100097,The Riddle of the Sands,Erskine Childers
100098,The Man of the Forest,Zane Grey
100100,The Song of the Lark,Willa Cather
100101,The Princess and the Goblin,George Macdonald
100102,Toilers of the Sea,Victor Hugo
